OrderID,OrderDate,Year,CustomerID,ModelID,PaintColor,OrderQuantity,DealSize,UnitPrice,SalesAmount
O00001,2026-04-14,2026,C0122,M01,Green,11,Medium,2640000.00,29040000.00
O00004,2026-01-08,2026,C0050,M04,Jet Black,3,Small,246495.00,739485.00
O00005,2026-03-26,2026,C0028,M01,Alpine White,18,Medium,2640000.00,47520000.00
O00006,2025-01-20,2025,C0032,M03,Phytonic Blue,18,Medium,246170.00,4431060.00
O00007,2025-08-21,2025,C0114,M04,Phytonic Blue,9,Small,246495.00,2218455.00
O00008,2025-01-11,2025,C0122,M01,Phytonic Blue,14,Medium,2640000.00,36960000.00
O00009,2024-05-02,2024,C0062,M02,Alpine White,5,Small,498258.00,2491290.00
O00011,2025-02-02,2025,C0139,M02,Alpine White,16,Medium,498258.00,7972128.00
O00012,2026-07-04,2026,C0006,M03,Phytonic Blue,1,Small,246170.00,246170.00
O00013,2026-06-30,2026,C0100,M01,Green,9,Small,2640000.00,23760000.00
O00014,2024-02-07,2024,C0125,M04,Jet Black,6,Small,246495.00,1478970.00
O00015,2026-06-13,2026,C0043,M03,Melbourne Red,20,Large,246170.00,4923400.00
O00017,2025-01-18,2025,C0055,M02,Jet Black,14,Medium,498258.00,6975612.00
O00018,2026-06-06,2026,C0065,M04,Jet Black,10,Medium,246495.00,2464950.00
O00019,2026-03-29,2026,C0018,M02,Yellow,13,Medium,498258.00,6477354.00
O00020,2024-03-08,2024,C0040,M01,Jet Black,4,Small,2640000.00,10560000.00
O00023,2025-07-25,2025,C0020,M03,Melbourne Red,5,Small,246170.00,1230850.00
O00024,2026-04-17,2026,C0031,M03,Yellow,9,Small,246170.00,2215530.00
O00025,2025-10-07,2025,C0130,M02,Alpine White,8,Small,498258.00,3986064.00
O00026,2025-12-24,2025,C0118,M04,Jet Black,14,Medium,246495.00,3450930.00
O00027,2025-02-01,2025,C0124,M04,Melbourne Red,15,Medium,246495.00,3697425.00
O00028,2024-05-09,2024,C0023,M04,Jet Black,19,Medium,246495.00,4683405.00
